input,output,text,sample_id,story_id,occurrence_in_story,truth_value,label,num_steps,source_line,has_folio_context,folio_label,folio_label_mismatch,folio_example_id,conclusion_type,split
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Boves is a railway station located in France.
2. The preceding station of Boves is Longueau.
3. The preceding station of Dommartin is Boves.
4. France is a European country.
5. Dommartin is situated on the Paris–Lille railway.
6. Any two contiguous stations are on the same railway.
7. Boves is served by regional TER Hauts-de-France trains.
8. If place A is located in place B and place B is located in place C, then place A is located in place C.
9. If place A precedes place B and place B precedes place C, then place A precedes place C.

Conclusion:
Longueau is served by regional TER Hauts-de-France trains.","Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Boves is a railway station located in France.
2. The preceding station of Boves is Longueau.
3. The preceding station of Dommartin is Boves.
4. France is a European country.
5. Dommartin is situated on the Paris–Lille railway.
6. Any two contiguous stations are on the same railway.
7. Boves is served by regional TER Hauts-de-France trains.
8. If place A is located in place B and place B is located in place C, then place A is located in place C.
9. If place A precedes place B and place B precedes place C, then place A precedes place C.

Conclusion:
Longueau is served by regional TER Hauts-de-France trains.

### Assistant:
Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain",16,6,2,U,Uncertain,0,178,True,U,False,16,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Six, seven and eight are real numbers.
2. If a real number equals another real number added by one, the first number is larger.
3. If the number x is larger than the number y, then y is not larger than x.
4. Seven equals six plus one.
5. Eight equals seven plus one.
6. Two is positive.
7. If a number is positive, then the double of it is also positive.
8. Eight is the double of four.
9. Four is the double of two.

Conclusion:
Eight is larger than seven.","Reasoning process:
D1. From 5,2, by modus ponens: Eight is larger than seven.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Six, seven and eight are real numbers.
2. If a real number equals another real number added by one, the first number is larger.
3. If the number x is larger than the number y, then y is not larger than x.
4. Seven equals six plus one.
5. Eight equals seven plus one.
6. Two is positive.
7. If a number is positive, then the double of it is also positive.
8. Eight is the double of four.
9. Four is the double of two.

Conclusion:
Eight is larger than seven.

### Assistant:
Reasoning process:
D1. From 5,2, by modus ponens: Eight is larger than seven.
Truth value: True",17,7,0,T,True,1,189,True,T,False,17,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Six, seven and eight are real numbers.
2. If a real number equals another real number added by one, the first number is larger.
3. If the number x is larger than the number y, then y is not larger than x.
4. Seven equals six plus one.
5. Eight equals seven plus one.
6. Two is positive.
7. If a number is positive, then the double of it is also positive.
8. Eight is the double of four.
9. Four is the double of two.

Conclusion:
Eight is positive.","Reasoning process:
D1. From 6, 7, by modus ponens: The double of two is positive.
D2. From D1, 9, by universal instantiation: Four is positive.
D3. From D2, 7, by modus ponens: The double of four is positive.
D4. From D3, 8, by universal instantiation: Eight is positive.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Six, seven and eight are real numbers.
2. If a real number equals another real number added by one, the first number is larger.
3. If the number x is larger than the number y, then y is not larger than x.
4. Seven equals six plus one.
5. Eight equals seven plus one.
6. Two is positive.
7. If a number is positive, then the double of it is also positive.
8. Eight is the double of four.
9. Four is the double of two.

Conclusion:
Eight is positive.

### Assistant:
Reasoning process:
D1. From 6, 7, by modus ponens: The double of two is positive.
D2. From D1, 9, by universal instantiation: Four is positive.
D3. From D2, 7, by modus ponens: The double of four is positive.
D4. From D3, 8, by universal instantiation: Eight is positive.
Truth value: True",18,7,1,T,True,4,200,True,T,False,18,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Six, seven and eight are real numbers.
2. If a real number equals another real number added by one, the first number is larger.
3. If the number x is larger than the number y, then y is not larger than x.
4. Seven equals six plus one.
5. Eight equals seven plus one.
6. Two is positive.
7. If a number is positive, then the double of it is also positive.
8. Eight is the double of four.
9. Four is the double of two.

Conclusion:
Six is larger than seven.","Reasoning process:
D1. From 4,2, by modus ponens: Seven is larger than six.
D2. From D1, 3, by modus ponens: Six is not larger than seven.
Truth value: False","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Six, seven and eight are real numbers.
2. If a real number equals another real number added by one, the first number is larger.
3. If the number x is larger than the number y, then y is not larger than x.
4. Seven equals six plus one.
5. Eight equals seven plus one.
6. Two is positive.
7. If a number is positive, then the double of it is also positive.
8. Eight is the double of four.
9. Four is the double of two.

Conclusion:
Six is larger than seven.

### Assistant:
Reasoning process:
D1. From 4,2, by modus ponens: Seven is larger than six.
D2. From D1, 3, by modus ponens: Six is not larger than seven.
Truth value: False",19,7,2,F,False,2,211,True,F,False,19,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
2. Any choral conductor is a musician.
3. Some musicians love music.
4. Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.

Conclusion:
Miroslav Venhoda loved music.","Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
2. Any choral conductor is a musician.
3. Some musicians love music.
4. Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.

Conclusion:
Miroslav Venhoda loved music.

### Assistant:
Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain",20,8,0,U,Uncertain,0,222,True,U,False,20,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
2. Any choral conductor is a musician.
3. Some musicians love music.
4. Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.

Conclusion:
A Czech published a book in 1946.","Reasoning process:
D1. From 1, by conjunction elimination: Miroslav Venhoda was a Czech.
D2. From 8, by conjunction elimination: Miroslav Venhoda published a book in 1946.
D3. From D1, D2, by conjunction introduction: Miroslav Venhoda, who was a Czech, published a book in 1946.
D4. From D3, by existential introduction: A Czech published a book in 1946.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
2. Any choral conductor is a musician.
3. Some musicians love music.
4. Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.

Conclusion:
A Czech published a book in 1946.

### Assistant:
Reasoning process:
D1. From 1, by conjunction elimination: Miroslav Venhoda was a Czech.
D2. From 8, by conjunction elimination: Miroslav Venhoda published a book in 1946.
D3. From D1, D2, by conjunction introduction: Miroslav Venhoda, who was a Czech, published a book in 1946.
D4. From D3, by existential introduction: A Czech published a book in 1946.
Truth value: True",21,8,1,T,True,4,233,True,T,False,21,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
2. Any choral conductor is a musician.
3. Some musicians love music.
4. Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.

Conclusion:
No choral conductor specialized in the performance of Renaissance.","Reasoning process:
D1. From 1, by conjunction elimination: Miroslav Venhoda was a choral conductor and Miroslav Venhoda specialized in the performance of Renaissance music.
D2. From D1, by existential introduction: No choral conductor specialized in the performance of Renaissance.
Truth value: False","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
2. Any choral conductor is a musician.
3. Some musicians love music.
4. Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.

Conclusion:
No choral conductor specialized in the performance of Renaissance.

### Assistant:
Reasoning process:
D1. From 1, by conjunction elimination: Miroslav Venhoda was a choral conductor and Miroslav Venhoda specialized in the performance of Renaissance music.
D2. From D1, by existential introduction: No choral conductor specialized in the performance of Renaissance.
Truth value: False",22,8,2,F,False,2,244,True,F,False,22,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. The taiga vole is a large vole found in northwestern North America.
2. Cats like playing with all voles.
3. The taiga vole lives in the boreal taiga zone.
4. The boreal taiga zone in North America is a cold place to live in.

Conclusion:
Cats like playing with taiga vole.","Reasoning process:
D1. From 1, by conjunction elimination: Taiga vole is a vole.
D2. From D1, 2, by universal instantiation: Cats like playing with taiga vole.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. The taiga vole is a large vole found in northwestern North America.
2. Cats like playing with all voles.
3. The taiga vole lives in the boreal taiga zone.
4. The boreal taiga zone in North America is a cold place to live in.

Conclusion:
Cats like playing with taiga vole.

### Assistant:
Reasoning process:
D1. From 1, by conjunction elimination: Taiga vole is a vole.
D2. From D1, 2, by universal instantiation: Cats like playing with taiga vole.
Truth value: True",23,9,0,T,True,2,255,True,T,False,23,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. The taiga vole is a large vole found in northwestern North America.
2. Cats like playing with all voles.
3. The taiga vole lives in the boreal taiga zone.
4. The boreal taiga zone in North America is a cold place to live in.

Conclusion:
Taiga vole's living place is not cold.","Reasoning process:
D1. From 1, by conjunction elimination: Taiga vole is found in North America.
D2. From 3, D1, by conjunction introduction: Taiga vole is found in North America and lives in the boreal taiga zone.
D3. From D2, 4, by modus ponens: Taiga vole's lives in a cold place.
Truth value: False","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. The taiga vole is a large vole found in northwestern North America.
2. Cats like playing with all voles.
3. The taiga vole lives in the boreal taiga zone.
4. The boreal taiga zone in North America is a cold place to live in.

Conclusion:
Taiga vole's living place is not cold.

### Assistant:
Reasoning process:
D1. From 1, by conjunction elimination: Taiga vole is found in North America.
D2. From 3, D1, by conjunction introduction: Taiga vole is found in North America and lives in the boreal taiga zone.
D3. From D2, 4, by modus ponens: Taiga vole's lives in a cold place.
Truth value: False",24,9,1,F,False,3,266,True,F,False,24,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Thick as Thieves is a young adult fantasy novel written by Megan Whalen Turner.
2. Thick as Thieves was published by Greenwillow Books.
3. If a book was published by a company, then the author of that book worked with the company that published the book.
4. The fictional Mede Empire is where Thick as Thieves is set.
5. The Mede Empire plots to swallow up some nearby countries.
6. Attolia and Sounis are countries near the Mede Empire.
7. Thick as Thieves was sold both as a hardcover and an e-book.

Conclusion:
Megan Whalen Turner worked with Greenwillow Books.","Reasoning process:
D1. From 1, by conjunction elimination: Thick as Thieves is written by Megan Whalen Turner.
D2. From D1, 2, by conjunction introduction: Thick as Thieves is written by Megan Whalen Turner and was published by Greenwillow Books.
D3. From D2, 3, by modus ponens: Megan Whalen Turner worked with Greenwillow Books.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Thick as Thieves is a young adult fantasy novel written by Megan Whalen Turner.
2. Thick as Thieves was published by Greenwillow Books.
3. If a book was published by a company, then the author of that book worked with the company that published the book.
4. The fictional Mede Empire is where Thick as Thieves is set.
5. The Mede Empire plots to swallow up some nearby countries.
6. Attolia and Sounis are countries near the Mede Empire.
7. Thick as Thieves was sold both as a hardcover and an e-book.

Conclusion:
Megan Whalen Turner worked with Greenwillow Books.

### Assistant:
Reasoning process:
D1. From 1, by conjunction elimination: Thick as Thieves is written by Megan Whalen Turner.
D2. From D1, 2, by conjunction introduction: Thick as Thieves is written by Megan Whalen Turner and was published by Greenwillow Books.
D3. From D2, 3, by modus ponens: Megan Whalen Turner worked with Greenwillow Books.
Truth value: True",25,10,0,T,True,3,277,True,T,False,25,nl,train
