,Premises - NL,Conclusions - NL,Truth Values,Premises - FOL,Conclusions - FOL,Comments,Verified by Prover
13,"System 7 is a UK-based electronic dance music band.
Steve Hillage and Miquette Giraudy formed System 7.
Steve Hillage and Miquette Giraudy are former members of the band Gong.
Electric dance music bands are bands.
System 7 has released several club singles.
Club singles are not singles.","System 7 was formed by former members of Gong.
System 7 has released several singles.
System 7 is not a band.","T
U
F","BasedIn(system7, uk) ∧ ElectronicDanceMusicBand(system7)
Form(stevehillage, system7) ∧ Form(miquettegiraudy, system7)
FormerMemberOf(stevehillage, gong) ∧ FormerMemberOf(miquettegiraudy, gong)
∀x (ElectronicDanceMusicBand(x) → Band(x))
∃x (ClubSingle(x) ∧ Release(system7, x))
∀x (ClubSingle(x) → ¬Single(x))","∃x (Form(x, system7) ∧ FormerMemberOf(x, gong))
∃x (Single(x) ∧ Release(system7, x))
¬Band(system7)",,
14,"The USS Salem is a heavy cruiser built for the United States Navy.
The last heavy cruiser to enter service was the USS Salem.
The USS Salem is a museum ship.
Museum ships are open to the public.
The USS Salem served in the Atlantic and Mediterranean.","The USS Salem is open to the public.
There is a museum ship open to the public that served in the Mediterranean.
The USS Salem was not the last heavy cruiser to enter service.","T
T
F","HeavyCruiser(usssalem) ∧ BuiltFor(usssalem, unitedstatesnavy)
LastHeavyCruiserToEnterService(usssalem)
MuseumShip(usssalem)
∀x (MuseumShip(x) → OpenToPublic(x))
ServedIn(usssalem, atlantic) ∧ ServedIn(usssalem, mediterranean)","OpenToPublic(usssalem)
∃x (MuseumShip(x) ∧ OpenToPublic(x) ∧ ServedIn(x, mediterranean))
¬LastHeavyCruiserToEnterService(usssalem)",,
15,"Elephantopus is a genus of perennial plants in the daisy family.
Elephantopus is widespread over much of Africa, southern Asia, Australia, and the Americas.
Several species of Elephantopus are native to the southeastern United States.
Elephantopus scaber is a traditional medicine.","Elephantopus is found in Australia and Southern Asia.
No Elephantopus is native to the southeastern United States.
Elephantopus is a traditional medicine.","T
F
U","∀x (Elephantopus(x) → (Genus(x, perennialplants) ∧ BelongTo(x, daisyfamily)))
∃x ∃y ∃z(Elephantopus(x) ∧ In(x,africa) ∧ (¬(x=y)) ∧ Elephantopus(y) ∧ In(y, southernasia) ∧ (¬(x=z)) ∧ (¬(y=z)) ∧ Elephantopus(z) ∧ In(z, australia))
∃x ∃y (Elephantopus(x) ∧ NativeTo(x, southeasternunitedstates) ∧ (¬(x=y)) ∧ Elephantopus(y) ∧ NativeTo(y, southeasternunitedstates))
∀x (ElephantopusScaber(x) → TraditionalMedicine(x))","∃x∃y(Elephantopus(x) ∧ In(x,africa) ∧ Elephantopus(y) ∧ In(y,africa))
∀x (Elephantopus(x) → ¬NativeTo(x, southeasternunitedstates))
∀x (Elephantopus(x) → TraditionalMedicine(x))",,
16,"Notable people with the given name include Dagfinn Aarskog, Dagfinn Bakke and Dagfinn Dahl.
Dagfinn Aarskog is a Norwegian physician.
Dagfinn Dahl is a Norwegian barrister.","Dagfinn Aarskog is a notable person.
Dagfinn is Dagfinn Aarskog's given name.
Dagfinn Dahl is a Norwegian physician.","T
T
U","
GivenName(nameDagfinn) ∧ Named(dagfinnAarskog, nameDagfinn) ∧ NotablePerson(dagfinnAarskog) ∧ Named(dagfinnBakke, nameDagfinn) ∧ NotablePerson(dagfinnBakke)  ∧ Named(dagfinnDahl, nameDagfinn) ∧ NotablePerson(dagfinnDahl)
Norwegian(dagfinnAarskog) ∧ Physician(dagfinnAarskog)
Norwegian(dagfinnDahl) ∧ Barrister(dagfinnDahl)","NotablePerson(dagfinnAarskog)
Named(dagfinnAarskog, nameDagfinn) 
Norwegian(dagfinnDahl) ∧ Physician(dagfinnDahl)",,
17,"Odell is an English surname originating in Odell, Bedfordshire.
In some families, Odell is spelled O'Dell in a mistaken Irish adaptation.
Notable people with surnames include Amy Odell, Jack Odell, and Mats Odell.
Amy Odell is a British singer-songwriter.
Jack Odell is an English toy inventor.","Jack Odell is a notable person.
Odell is Amy Odell's surname.
Amy Odell is an English toy inventor.
Amy Odell is also Amy O'Dell.","T
T
U
U","Surname(nameODell) ∧ From(nameODell, oDellBedfordshire)
MistakenSpellingOf(nameO'Dell, nameODell) ∧ (∃x∃y(Family(x) ∧ Named(x, nameO'Dell) ∧ (¬(x=y)) ∧ Family(y) ∧ Named(y, nameO'Dell))
Named(amyODell, nameODell) ∧ NotablePerson(amyODell) ∧ Named(jackODell, nameODell) ∧ NotablePerson(jackODell) ∧ Named(matsODell, nameODell) ∧ NotablePerson(matsODell)
British(amyODell) ∧ Singer(amyODell) ∧ SongWriter(amyODell)
English(jackODell) ∧ ToyInventor(jackODell)","NotablePerson(jackODell)
Named(amyODell, nameODell)
English(amyODell) ∧ ToyInventor(amyODell)
Named(amyODell, nameODell) ∧ Named(amyODell, nameO'Dell)",,
18,"Miroslav Fiedler was a Czech mathematician.
Miroslav Fiedler is known for his contributions to linear algebra and graph theory.
Miroslav Fiedler is honored by the Fiedler eigenvalue.
Fiedler eigenvalue is the second smallest eigenvalue of the graph Laplacian.","Miroslav Fiedler is honored by the second smallest eigenvalue of the graph Laplacian.
Miroslav Fiedler was a French mathematician.
A Czech mathematician is known for his contributions to linear algebra and graph theory.","T
U
T","Czech(miroslavFiedler) ∧ Mathematician(miroslavFiedler)
KnownFor(miroslavFiedler, contributionsToLinearAlgebraAndGraphTheory)
HonoredBy(miroslavFiedler, fiedlerEigenvalue)
TheSecondSmallestEigenvalueOf(fiedlerEigenvalue, theGraphLaplacian)","∃x (TheSecondSmallestEigenvalueOf(x, theGraphLaplacian) ∧ HonoredBy(miroslavFiedler, x))
French(miroslavFiedler) ∧ Mathematician(miroslavFiedler)
∃x (Czech(x) ∧ Mathematician(x) ∧ KnownFor(x, contributionsToLinearAlgebraAndGraphTheory))",,
19,"Thomas Barber was an English professional footballer.
Thomas Barber played in the Football League for Aston Villa.
Thomas Barber played as a halfback and inside left.
Thomas Barber scored the winning goal in the 1913 FA Cup Final.","Thomas Barber played in the Football League for Bolton Wanderers
Thomas Barber played as an inside left.
An English professional footballer scored the winning goal in the 1913 FA Cup Final.","U
T
T","English(thomasBarber) ∧ ProfessionalFootballer(thomasBarber)
PlayedFor(thomasBarber, astonVilla) ∧ PlayedIn(astonVilla,theFootballLeague)
PlayedAs(thomasBarber, halfBack) ∧ PlayedAs(thomasBarber, insideLeft)
ScoredTheWinningGoalIn(thomasBarber, facupfinal1913)","PlayedFor(thomasBarber, boltonWanderers) ∧ PlayedIn(boltonWanderers,theFootballLeague)
PlayedAs(thomasBarber, insideLeft)
∃x (English(x) ∧ ProfessionalFootballer(x) ∧ ScoredTheWinningGoalIn(x, facupfinal1913))",,
20,"A Japanese game company created the game the Legend of Zelda.
All games on the Top 10 list are made by Japanese game companies.
If a game sells more than one million copies, then it will be included in the Top 10 list.
The Legend of Zelda sold more than one million copies.","The Legend of Zelda is on the Top 10 list.
FIFA 22 is made by a Japanese video game company. 
The Legend of Zelda is not on the Top 10 list.","T
U
F","Game(theLegendofZelda) ∧ ∃x (Japanese(x) ∧ VideoGameCompany(x) ∧ Created(x, theLegendofZelda))
∀x ∀y ((Game(x) ∧ InTop10(x) ∧ Created(y,x)) → Japanese(y))
∀x ((Game(x) ∧ ∃y(GreaterThan(y, oneMillion) ∧ CopiesSold(x, y))) → Top10(x)))
∃y(GreaterThan(y, oneMillion) ∧ CopiesSold(theLegendofZelda,y))","Top10(thelegendofzelda)
∃x(Created(x, fifa22) ∧ Japanese(x) ∧ VideoGameCompany(x))
¬Top10(thelegendofzelda)",,
21,"The Golden State Warriors are a team from San Francisco.
The Golden State Warriors won the NBA finals.
All teams attending the NBA finals have won many games.
Boston Celtics are a team that lost the NBA finals.
If a team wins the NBA finals, then they will have more income.
If a team wins or loses at the NBA finals, then they are attending the finals.","The Boston Celtics are from San Francisco.
The Boston Celtics have more than 30 years of experience.
The Golden State Warriors will have more income from gate receipts.","U
T
T","Team(goldenStateWarriors) ∧ From(goldenStateWarriors, sanFrancisco)
Won(goldenStateWarriors, nbaFinals)
∀x ((Team(x) ∧ Attending(x, nbaFinals)) → WonManyGames(x))
Team(bostonCeltics) ∧ Lost(bostonCeltics, nbaFinals)
∀x ((Team(x) ∧ Won(x, nbaFinals)) → MoreIncome(x))
∀x ((Won(x, nbaFinals) ∨ Lost(x, nbaFinals)) → Attending(x, nbaFinals))","From(bostonCeltics, sanFrancisco)
HasMoreThanThirtyYearsOfHistory(bostonCeltics)
MoreIncome(goldenStateWarriors)",,
22,"If a customer subscribes to AMC A-List, then he/she can watch 3 movies every week without any additional fees. 
Some customers go to cinemas every week. 
Customers who prefer TV series will not watch TV series in cinemas.
James watches TV series in cinemas. 
James subscribes to AMC A-List.
Peter prefers TV series.","James cannot watch 3 movies every week without any additional fees.
James goes to cinemas every week.
Peter will not watch TV series in cinemas.","F
U
T","∀x (SubscribedTo(x, aMCAList) → EligibleForThreeFreeMovies(x))
∃x (CinemaEveryWeek(x))
∀x (Prefer(x, tVSeries) → ¬WatchTVIn(x, cinemas))
WatchTVIn(james, cinemas)
SubscribedTo(james, aMCAList)
Prefer(peter, tVSeries)","¬EligibleForThreeFreeMovies(james)
CinemaEveryWeek(james)
¬WatchTVIn(peter, cinemas)",,
23,"All books written by Cixin Liu have sold more than 1 million copies. 
Some books that have won the Hugo Award were written by Cixin Liu.
All books about the future are forward-looking.
The book Three-Body Problem has sold more than 1 million copies.
The Three-Body Problem is about the future.","The Three-Body Problem won the Hugo Award.
The Three-Body Problem is forward-looking.
The Three-Body Problem was written by Cixin Liu.","U
T
U","∀x ((Book(x) ∧ WrittenBy(x, cixinLiu)) → ∃y(MoreThan(y, oneMillion) ∧ Sold(x,y)))
∃x (Won(x, hugoAward) ∧ Book(x) ∧ WrittenBy(x, cixinLiu))
∀x ((Book(x) ∧ AboutFuture(x)) → FowardLooking(x))
Book(threeBodyProblem) ∧ ∃y(MoreThan(y, oneMillion) ∧ Sold(threeBodyProblem,y))
AboutFuture(threeBodyProblem)","Won(threeBodyProblem, hugoAward)
AboutFuture(threeBodyProblem)
WrittenBy(threeBodyProblem, cixinLiu)",,
24,"If a Leetcode problem is at the easy level, then its AC rate is lower than 20 percent. 
All Leetcode problems that are recommended to novices are easy. 
A Leetode problem is either easy or hard.
Leetcode problems that are starred by more than one thousand users are hard.
2Sum is recommended to novices. 
4Sum is starred by more than 1,000 users.","2Sum is a Leetcode problem at the easy level. 
4Sum is a Leetcode problem recommended to the novice. 
2Sum has an AC rate higher than 20 percent.","T
F
F","∀x (Easy(x) → ∃y (LessThan(y, percent20) ∧ ACRate(x,y)))
∀x (Recommended(x) → Easy(x))
∀x (Easy(x) ⊕ Hard(x))
∀x (Starred(x)) → Hard(x))
Recommended(twosum) 
Starred(foursum)","Easy(twosum)
Recommended(foursum)
∃y(GreaterThan(y, percent20) ∧ ACRate(2Sum,y))",,
25,"Philatelic literature is divided into the following categories: Stamp catalogs, Periodicals, Auction catalogs, Books, Bibliographies, and Background Material.
Mort is not a Stamp catalog.
Mort is not a periodical, auction catalog, bibliography, or background material.
Mort is a piece of Philatelic literature.","Mort is background material.
Eragon is a piece of Philatelic literature.","F
U","∀x (PhilatelicLit(x) → (Stamp(x) ∨ Periodical(x) ∨ Auction(x) ∨ Book(x) ∨ Bibliography(x) ∨ Background(x)))
¬Stamp(mort)
¬(Periodical(mort) ∨ Auction(mort) ∨ Bibliography(mort) ∨ Background(mort))
PhilatelicLit(mort)","Background(mort)
PhilatelicLit(eragon)",,
26,"Some mammals have teeth.
Platypuses have no teeth.
Platypuses are mammals. 
Humans have teeth.","Platypuses are mammals with no teeth.  
Platypuses are reptiles. 
Humans are mammals. ","T
U
U","∃x ∃y (Mammal(x) ∧ Mammal(y) ∧ (¬(x=y)) ∧ Have(x, teeth) ∧ Have(y, teeth))
¬Have(platypus, teeth)
Mammal(platypus)
Have(humans, teeth)","Mammal(platypus) ∧ (¬Have(platypus, teeth))
Reptile(platypus)
Mammal(humans)",,
27,"Xiufeng, Xiangshan, Diecai, Qixing are districts in the city of Guilin.
Yangshuo is not a district in Guilin. ","Xiangshan and Diecai are districts in the same city. 
Xiufeng is a district in Guilin. 
Kowloon District is in Hong Kong. ","T
T
U","DistrictIn(xiufeng, guilin) ∧ DistrictIn(xiangshan, guilin) ∧ DistrictIn(diecai, guilin) ∧ DistrictIn(qixing, guilin) ∧ City(guilin)
¬DistrictIn(yangshuo, guilin)","∃x (DistrictIn(xiangshan, x) ∧ DistrictIn(diecai, x) ∧ City(x))
DistrictIn(xiufeng, guilin)
DistrictIn(kowloon, hongKong)",,
28,"Jason Kramer is an American music supervisor.
Some American radio personalities are also music supervisors. 
Anyone who hosts a show on a public radio station is a radio personality.
Joe Rogan is a radio personality.
Jason Kramer hosted a show on a public radio station.","Joe Rogan is American. 
Jason Kramer is a music supervisor. 
Jason Kramer is a radio personality.","U
T
T","MusicSupervisor(jasonKramer) ∧ American(jasonKramer)
∃x ∃y (American(x) ∧ MusicSupervisor(x) ∧ RadioPersonality(x) ∧ (¬(x=y)) ∧ American(y) ∧ MusicSupervisor(y) ∧ RadioPersonality(y))
∀x ∀y((HostShowOn(x, y) ∧ PublicRadioStation(x)) → RadioPersonality(x))
RadioPersonality(joeRogan)
∃x(HostShowOn(jasonKramer, x) ∧ PublicRadioStation(x))","American(joeRogan)
MusicSupervisor(jasonKramer)
RadioPersonality(jasonKramer)",,
29,"Gasteren is a village located in the province of Drenthe.
Drenthe is a Dutch province. 
No cities are villages.
The population of a village in Drenthe was 155 people.","Gasteren is a Dutch village.
Gasteren is a city.
Gasteren has a population of 155.","U
F
U","Village(gasteren) ∧ Province(drenthe) ∧ In(gasteren, drenthe)
Province(drenthe) ∧ In(drenthe, netherlands)
∀x (City(x) → ¬Village(x))
∃x (Population(x, num155) ∧ Village(x) ∧ In(x, drenthe))","Village(gasteren) ∧ In(gasteren, netherlands)
City(gasteren)
Population(gasteren, num155)",,
30,"EndGame is a movie released in 2006.
EndGame was set in Washington.
EndGame was filmed outside of Washington.
Some movies are filmed in New York.
Andy Chang directed EndGame.
Andy Chang is from Hong Kong.","EndGame was filmed in New York.
EndGame was not directed by someone from Hong Kong.
All of Andy Chang's movies are filmed outside of Washington.","U
F
U","Movie(endGame) ∧ Released(endGame, yr2006)
SetIn(endGame, washington)
¬(FilmedIn(endGame, washington))
∃x∃y(FilmedIn(x, newYork) ∧ (¬(x=y)) ∧ FilmedIn(y, newYork))
Directed(andyChang, endGame)
From(andyChang, hongKong)","FilmedIn(endGame, newYork)
∀x (¬(Directed(x, endGame) ∧ From(x, hongKong)))
∀x (Directed(andyChang, x) → ¬(FilmedIn(x, washington)))",,
31,"Naive cynicism was proposed by Justin Kruger and a colleague.
Thomas Gilovich is a colleague of Justin Kruger. 
Naive cynicism is a philosophy of mind.","Thomas Gilovich proposed naive cynicism.
Justin Kruger proposed a philosophy of mind.
Thomas Gilovich worked on philosophies of mind.","U
T
U","Proposed(justinKruger, naiveCynicism) ∧ ∃y (colleagueOfJustinKruger(y) ∧ Proposed(y, naiveCynicism))
Colleagues(thomasGilovich, justinKruger)
PhilosophyOfMind(naiveCynicism)","Proposed(thomasGilovich, naiveCynicism)
∃x (Proposed(justinKruger, x) ∧ PhilosophyOfMind(x)) 
∃x (WorkedOn(thomasGilovich, x) ∧ PhilosophyOfMind(x))",,
32,"Hugh Vanstone is one of the world's leading lighting designers. 
Hugh Vanstone is from the UK.
Hugh Vanstone has lit more than 160 productions.
Hugh Vanstone attended a school where he is from. ","Hugh Vanstone is one of the world's leading lighting designers and is from the UK.
Hugh Vanstone has lit 170 productions.
Hugh Vanstone attended a school in the United States.","T
U
U","WorldLeadingLightingDesigner(hughVanstone)
From(hughVanstone, unitedKingdom)
∃x(GreaterThan(x, num160) ∧ LitProductions(hughVanstone,x))
∃x(Hometown(hughVanstone,x) ∧ AttendedSchoolIn(hughVanstone,x))","WorldLeadingLightingDesigner(hughVanstone) ∧ From(hughVanstone, unitedKingdom)
∃x(GreaterThan(x, num170) ∧ LitProductions(hughVanstone,x))
AttendedSchoolIn(hughVanstone, unitedStates)",,
